# kernel32.dll exports and whether ReactOS 0.4.16 (x86, reports NT 5.2) has them.
# Source: the export tables of \reactos\system32\kernel32.dll and kernel32_vista.dll
# inside the released ReactOS-0.4.16-i386 image, read with pefile. Not documentation:
# these are the bytes the target actually ships. Format: name<TAB>reactos|no<TAB>where
# Names come from that image plus every name in kernel32-exports.tsv, so a function
# XP has and ReactOS lacks appears here as absent rather than simply missing.
# kernel32_vista.dll is marked absent on purpose: it is an internal ReactOS module,
# imported in that image only by ReactOS's own DLLs, never by an application.
# Regenerate with scripts/fetch-reactos-exports.py <ReactOS-0.4.16-i386.iso>.
CreateWaitableTimerExA	no	absent
CreateWaitableTimerExW	no	absent
CreateWaitableTimerW	reactos	kernel32.dll
CtrlRoutine	no	absent
DeactivateActCtx	reactos	kernel32.dll
DeactivateActCtxWorker	no	absent
DebugActiveProcess	reactos	kernel32.dll
DebugActiveProcessStop	reactos	kernel32.dll
DebugBreak	reactos	kernel32.dll
DebugBreakProcess	reactos	kernel32.dll
DebugSetProcessKillOnExit	reactos	kernel32.dll
DecodePointer	reactos	kernel32.dll
DecodeSystemPointer	reactos	kernel32.dll
DefineDosDeviceA	reactos	kernel32.dll
DefineDosDeviceW	reactos	kernel32.dll
DelayLoadFailureHook	reactos	kernel32.dll
DeleteAtom	reactos	kernel32.dll
DeleteBoundaryDescriptor	no	absent
DeleteCriticalSection	reactos	kernel32.dll
DeleteFiber	reactos	kernel32.dll
DeleteFileA	reactos	kernel32.dll
DeleteFileTransactedA	no	absent
DeleteFileTransactedW	no	absent
DeleteFileW	reactos	kernel32.dll
DeleteProcThreadAttributeList	no	absent
DeleteStateAtomValue	no	absent
DeleteStateContainer	no	absent
DeleteStateContainerValue	no	absent
DeleteSynchronizationBarrier	no	absent
DeleteTimerQueue	reactos	kernel32.dll
DeleteTimerQueueEx	reactos	kernel32.dll
DeleteTimerQueueTimer	reactos	kernel32.dll
DeleteUmsCompletionList	no	absent
DeleteUmsThreadContext	no	absent
DeleteVolumeMountPointA	reactos	kernel32.dll
DeleteVolumeMountPointW	reactos	kernel32.dll
DequeueUmsCompletionListItems	no	absent
DeviceIoControl	reactos	kernel32.dll
DisableThreadLibraryCalls	reactos	kernel32.dll
DisableThreadProfiling	no	absent
DisassociateCurrentThreadFromCallback	no	absent
DiscardVirtualMemory	no	absent
DisconnectNamedPipe	reactos	kernel32.dll
DnsHostnameToComputerNameA	reactos	kernel32.dll
DnsHostnameToComputerNameExW	no	absent
DnsHostnameToComputerNameW	reactos	kernel32.dll
DosDateTimeToFileTime	reactos	kernel32.dll
DosPathToSessionPathA	reactos	kernel32.dll
DosPathToSessionPathW	reactos	kernel32.dll
DuplicateConsoleHandle	reactos	kernel32.dll
DuplicateEncryptionInfoFileExt	no	absent
DuplicateHandle	reactos	kernel32.dll
DuplicateStateContainerHandle	no	absent
EnableThreadProfiling	no	absent
EncodePointer	reactos	kernel32.dll
EncodeSystemPointer	reactos	kernel32.dll
EndUpdateResourceA	reactos	kernel32.dll
EndUpdateResourceW	reactos	kernel32.dll
EnterCriticalSection	reactos	kernel32.dll
EnterSynchronizationBarrier	no	absent
EnterUmsSchedulingMode	no	absent
EnumCalendarInfoA	reactos	kernel32.dll
EnumCalendarInfoExA	reactos	kernel32.dll
EnumCalendarInfoExEx	no	absent
EnumCalendarInfoExW	reactos	kernel32.dll
EnumCalendarInfoW	reactos	kernel32.dll
EnumDateFormatsA	reactos	kernel32.dll
EnumDateFormatsExA	reactos	kernel32.dll
EnumDateFormatsExEx	no	absent
EnumDateFormatsExW	reactos	kernel32.dll
EnumDateFormatsW	reactos	kernel32.dll
EnumLanguageGroupLocalesA	reactos	kernel32.dll
EnumLanguageGroupLocalesW	reactos	kernel32.dll
EnumResourceLanguagesA	reactos	kernel32.dll
EnumResourceLanguagesExA	no	absent
EnumResourceLanguagesExW	no	absent
